0,33.0,,
0,1.0,,
1,1409.0,,
1,3.0,,
2,2422.0,,
2,3.0,,
3,841.0,,
3,2.0,,
4,121.0,,
4,1.0,,
5,263.0,,
6,80.0,,
6,2.0,,
7,129.0,,
7,1.0,,
8,25.0,,
9,53.0,,
10,252.0,,
11,56.0,,
12,47.0,,
13,16.0,,
14,12.0,,
15,184.0,,
16,24.0,,
17,15.0,,
18,5.0,,
19,11.0,,
20,37.0,,
21,15.0,,
22,8.0,,
23,11.0,,
24,13.0,,
25,13.0,,
26,1.0,,
27,3.0,,
28,4.0,,
29,2.0,,
30,34.0,,
31,8.0,,
32,4.0,,
33,1.0,,
34,5.0,,
35,38.0,,
36,4.0,,
37,1.0,,
38,8.0,,
39,1.0,,
40,9.0,,
42,3.0,,
45,18.0,,
46,2.0,,
47,2.0,,
48,10.0,,
50,69.0,,
51,71.0,,
52,8.0,,
53,4.0,,
54,1.0,,
55,6.0,,
56,4.0,,
57,12.0,,
60,16.0,,
61,2.0,,
62,2.0,,
63,9.0,,
64,2.0,,
65,8.0,,
66,1.0,,
68,4.0,,
69,1.0,,
70,45.0,,
71,1.0,,
72,11.0,,
73,11.0,,
74,2.0,,
75,1.0,,
77,4.0,,
78,1.0,,
80,19.0,,
81,1.0,,
82,1.0,,
83,2.0,,
85,3.0,,
86,5.0,,
87,4.0,,
88,13.0,,
90,20.0,,
91,2.0,,
93,1.0,,
95,5.0,,
96,1.0,,
97,1.0,,
98,44.0,,
99,17.0,,
1201,1.0,,
4444,1.0,,
4611,1.0,,
4911,1.0,,
10000,1.0,,
12344,1.0,,0
22222,1.0,,
549161,175.0,,
123456789,1.0,,
_,20.0,,
__,1.0,,0
0f,2.0,,of
0k,1.0,,ok
0nta2,2.0,onta,onta-onta
0rang2,3.0,,orang-orang
10jt,3.0,,10 juta
10kg,1.0,,10 kilogram
10rb,2.0,,10 ribu
10th,20.0,,10 tahun
10thn,17.0,,
10thun,3.0,,10 tahun
15jtan,1.0,,
15tahun,1.0,,15 tahun
1atau,2.0,,1 atau
1bakal,1.0,,satu bakal
1jari,1.0,,1 jari
1juta,3.0,,satu juta
1l,1.0,,0
1m,22.0,,0
1miliar,1.0,,1 miliar
1q,1.0,,0
1thn,26.0,,1 tahun
1x,1.0,,1 kali
2_,1.0,,0
200juta,1.0,,200 juta
20abat,1.0,,
20milliyar,1.0,,20 miliar
20thn,1.0,,20 tahun
2berulang,1.0,,dua berulang
2i,1.0,,0
2itu,1.0,,2 itu
2j,1.0,,0
2juta,1.0,,2 juta
2klu,1.0,,dua kali
2koper,4.0,,
2m,3.0,,0
2mau,1.0,,0
2naik,1.0,,
2nya,4.0,dua,duanya
2sikat,1.0,,dua sikat
2w,1.0,,0
2x,22.0,,2 kali
2xan,1.0,dua,dua-duaan
3g,7.0,,3 gram
3t,1.0,,0
3x,29.0,,3 kali
400ribu,1.0,,400 ribu
40hr,1.0,,40 hari
40thn,1.0,,40 tahun
4detik,1.0,,4 detik
4g,13.0,,4 gram
4l,1.0,,0
4m,2.0,,0
4r,1.0,,0
4tahun,1.0,,4 tahun
4x,3.0,,4 kali
5000mah,1.0,,
500thn,1.0,,500 tahun
598d906f,1.0,,0
5d5e60df,2.0,,0
5g,1.0,,0
5h,1.0,,0
5t,2.0,,
5x,4.0,,0
600ribu,1.0,,600 ribu
6g,1.0,,
6m,1.0,,
7c,1.0,,
7juta,2.0,,7 juta
7m,1.0,,0
9g,1.0,,0
9x,2.0,,0
a,3931.0,,
a1,3.0,,0
aa,93.0,,0
aaaaaa,1.0,,0
aaaaahhhh,1.0,,ah
aaaah,5.0,,0
aaaahh,1.0,,0
aaaahhhh,2.0,,ah
aaaahhhj,1.0,,ah
aaacchhh,1.0,,ah
aaach,1.0,,0
aaahaa,1.0,,0
aaahh,1.0,,0
aaahhh,3.0,,ah
aaahk,1.0,,0
aaakkkh,1.0,,0
aaalamin,1.0,alam,mengalami
aaamiin,1.0,,amin
aaamin,2.0,,
aaamit,1.0,,
aaammiiinnn,1.0,,amin
aaasssuuuuudahlah,1.0,,ah sudahlah
aagim,5.0,,aa gym
aahhhhh,1.0,,ah
aajaaa,1.0,,aja
aakkkkk,1.0,,0
aamin3xyra,1.0,,
aamini,1.0,amin,amini
aapasih,1.0,,
ab,1.0,,0
ababil,1.0,,
abal2an,1.0,abal,abal-abalan
abal2x,1.0,abal,abal-abal
abalan,2.0,abal,
abang2,1.0,abang,abang-abang
abdullah,2.0,,0
abdulllah,1.0,,
abesss,1.0,,
abis2,2.0,habis,habis-habis
abisan,2.0,habis,habisan
abisi,1.0,habis,habisi
abisin,4.0,habis,habisin
abisny,1.0,habis,habisnya
abisnya,3.0,habis,habisnya
abisnyanyg,1.0,,0
abisnye,1.0,habis,habisnya
abiss,2.0,,habis
abisss,1.0,,habis
abizzz,1.0,,abis
abizzzzz,1.0,,habis
abubakar,1.0,,
ac,7.0,,0
acara2,3.0,acara,acara-acara
achhhhh,1.0,,0
achirnya,2.0,akhir,akhirnya
ackhhhh,3.0,,0
ad,216.0,,0
ada2in,1.0,ada,ada-adain
adakah,13.0,ada,
adakan,9.0,ada,
adalah,675.0,,
adalahbfajar,1.0,,adalah fajar
adalaj,1.0,,adalah
adalsh,1.0,,adalah
adaorang,1.0,,ada orang
adaptasi,3.0,,
adeeem,2.0,,
adegan,5.0,,
adehhh,2.0,,
adeian,1.0,,0
adekku,1.0,,adek
adeknya,3.0,adik,adiknya
ademmm,3.0,,adem
adiannnn,1.0,,0
adidas,2.0,,
adilin,1.0,adil,
adilll,1.0,,adil
adilmu,2.0,adil,
adinda,1.0,,
admin,2.0,,
adoel,3.0,,
adrian,5.0,,
aduan,2.0,adu,
aduch,1.0,,aduh
aduh2,2.0,aduh,aduh-aduh
aduhh,3.0,,0
